Vm Count,Start Time,Finish Time,WallClock Time,BandWidth,Cloudlet
500,0.3,14.32825,14.02825,28.3,100
500,0.3,33.5325,33.2325,3.8,300
500,0.3,43.242,42.942,29,400
500,0.3,44.452,44.152,27.5,500
500,0.3,70.11225,69.81225,18.1,1000
