Vm Count,Start Time,Finish Time,WallClock Time,BandWidth,Cloudlet
500,0.3,12.84425,12.54425,22.7,100
500,0.3,12.78575,12.48575,22.7,300
500,0.3,12.798,12.498,13.6,400
500,0.3,13.7245,13.4245,18.9,500
500,0.3,22.244,21.944,12.8,1000
