========== OUTPUT ==========
Cloudlet ID    STATUS    Data center ID    VM ID    Time    Start Time    Finish Time
    174        SUCCESS        2            9        479.99        0.3        480.29
    339        SUCCESS        2            9        479.99        0.3        480.29
    14        SUCCESS        2            14        479.99        0.3        480.29
    179        SUCCESS        2            14        479.99        0.3        480.29
    344        SUCCESS        2            14        479.99        0.3        480.29
    19        SUCCESS        2            19        479.99        0.3        480.29
    184        SUCCESS        2            19        479.99        0.3        480.29
    349        SUCCESS        2            19        479.99        0.3        480.29
    24        SUCCESS        2            24        479.99        0.3        480.29
    189        SUCCESS        2            24        479.99        0.3        480.29
    354        SUCCESS        2            24        479.99        0.3        480.29
    29        SUCCESS        2            29        479.99        0.3        480.29
    194        SUCCESS        2            29        479.99        0.3        480.29
    359        SUCCESS        2            29        479.99        0.3        480.29
    34        SUCCESS        2            34        479.99        0.3        480.29
    199        SUCCESS        2            34        479.99        0.3        480.29
    364        SUCCESS        2            34        479.99        0.3        480.29
    39        SUCCESS        2            39        479.99        0.3        480.29
    204        SUCCESS        2            39        479.99        0.3        480.29
    369        SUCCESS        2            39        479.99        0.3        480.29
    44        SUCCESS        2            44        479.99        0.3        480.29
    209        SUCCESS        2            44        479.99        0.3        480.29
    374        SUCCESS        2            44        479.99        0.3        480.29
    49        SUCCESS        2            49        479.99        0.3        480.29
    214        SUCCESS        2            49        479.99        0.3        480.29
    379        SUCCESS        2            49        479.99        0.3        480.29
    54        SUCCESS        2            54        479.99        0.3        480.29
    219        SUCCESS        2            54        479.99        0.3        480.29
    384        SUCCESS        2            54        479.99        0.3        480.29
    55        SUCCESS        3            55        479.99        0.3        480.29
    220        SUCCESS        3            55        479.99        0.3        480.29
    385        SUCCESS        3            55        479.99        0.3        480.29
    60        SUCCESS        3            60        479.99        0.3        480.29
    225        SUCCESS        3            60        479.99        0.3        480.29
    390        SUCCESS        3            60        479.99        0.3        480.29
    65        SUCCESS        3            65        479.99        0.3        480.29
    230        SUCCESS        3            65        479.99        0.3        480.29
    395        SUCCESS        3            65        479.99        0.3        480.29
    70        SUCCESS        3            70        479.99        0.3        480.29
    235        SUCCESS        3            70        479.99        0.3        480.29
    400        SUCCESS        3            70        479.99        0.3        480.29
    75        SUCCESS        3            75        479.99        0.3        480.29
    240        SUCCESS        3            75        479.99        0.3        480.29
    405        SUCCESS        3            75        479.99        0.3        480.29
    80        SUCCESS        3            80        479.99        0.3        480.29
    245        SUCCESS        3            80        479.99        0.3        480.29
    410        SUCCESS        3            80        479.99        0.3        480.29
    85        SUCCESS        3            85        479.99        0.3        480.29
    250        SUCCESS        3            85        479.99        0.3        480.29
    415        SUCCESS        3            85        479.99        0.3        480.29
    90        SUCCESS        3            90        479.99        0.3        480.29
    255        SUCCESS        3            90        479.99        0.3        480.29
    420        SUCCESS        3            90        479.99        0.3        480.29
    95        SUCCESS        3            95        479.99        0.3        480.29
    260        SUCCESS        3            95        479.99        0.3        480.29
    425        SUCCESS        3            95        479.99        0.3        480.29
    100        SUCCESS        3            100        479.99        0.3        480.29
    265        SUCCESS        3            100        479.99        0.3        480.29
    430        SUCCESS        3            100        479.99        0.3        480.29
    105        SUCCESS        3            105        479.99        0.3        480.29
    270        SUCCESS        3            105        479.99        0.3        480.29
    435        SUCCESS        3            105        479.99        0.3        480.29
    56        SUCCESS        3            56        479.99        0.3        480.29
    221        SUCCESS        3            56        479.99        0.3        480.29
    386        SUCCESS        3            56        479.99        0.3        480.29
    61        SUCCESS        3            61        479.99        0.3        480.29
    226        SUCCESS        3            61        479.99        0.3        480.29
    391        SUCCESS        3            61        479.99        0.3        480.29
    66        SUCCESS        3            66        479.99        0.3        480.29
    231        SUCCESS        3            66        479.99        0.3        480.29
    396        SUCCESS        3            66        479.99        0.3        480.29
    71        SUCCESS        3            71        479.99        0.3        480.29
    236        SUCCESS        3            71        479.99        0.3        480.29
    401        SUCCESS        3            71        479.99        0.3        480.29
    76        SUCCESS        3            76        479.99        0.3        480.29
    241        SUCCESS        3            76        479.99        0.3        480.29
    406        SUCCESS        3            76        479.99        0.3        480.29
    81        SUCCESS        3            81        479.99        0.3        480.29
    246        SUCCESS        3            81        479.99        0.3        480.29
    411        SUCCESS        3            81        479.99        0.3        480.29
    86        SUCCESS        3            86        479.99        0.3        480.29
    251        SUCCESS        3            86        479.99        0.3        480.29
    416        SUCCESS        3            86        479.99        0.3        480.29
    91        SUCCESS        3            91        479.99        0.3        480.29
    256        SUCCESS        3            91        479.99        0.3        480.29
    421        SUCCESS        3            91        479.99        0.3        480.29
    96        SUCCESS        3            96        479.99        0.3        480.29
    261        SUCCESS        3            96        479.99        0.3        480.29
    426        SUCCESS        3            96        479.99        0.3        480.29
