Cloudlet ID    STATUS    Data center ID    VM ID    Time    Start Time    Finish Time    BWCost    CPUCost
    86        SUCCESS        2            1        0.3        207.06        242.15            45            10.53
    34        SUCCESS        2            0        0.3        208.26        256.58            48.7            14.5
    18        SUCCESS        2            1        0.3        242.15        279.36            12.2            11.16
    96        SUCCESS        2            0        0.3        256.58        306.37            42.6            14.94
    53        SUCCESS        2            1        0.3        279.36        320.43            29.5            12.32
    20        SUCCESS        2            1        0.3        320.43        362.82            15.8            12.72
    49        SUCCESS        2            1        0.3        362.82        410.69            32.7            14.36
makespan: 410.692
LB: 109.9433151867958
cost: 771.4484249999998

SARSA/Q Learning
