========== OUTPUT ==========
Cloudlet ID    STATUS    Data center ID    VM ID    Time    Start Time    Finish Time    BWCost    CPUCost
    100        SUCCESS        4            17        0.3        10.12        17.54            42.8            6.68
    104        SUCCESS        4            60        0.3        14.5        17.54            33            2.74
    123        SUCCESS        4            24        0.3        6.72        17.94            44.2            10.1
    234        SUCCESS        4            30        0.3        13.06        18.14            38.6            4.57
    193        SUCCESS        4            56        0.3        14.39        18.25            34.5            3.47
    184        SUCCESS        4            27        0.3        10.69        18.36            45.4            6.9
    36        SUCCESS        4            47        0.3        9.7        18.63            13.3            8.03
    90        SUCCESS        4            21        0.3        9.59        18.74            32.4            8.23
    128        SUCCESS        4            44        0.3        8.05        18.74            20.7            9.62
    83        SUCCESS        3            11        0.3        0.3        18.77            31.6            9.23
    20        SUCCESS        4            54        0.3        8.16        18.85            15.8            9.62
    40        SUCCESS        3            12        0.3        0.3        18.94            31.4            9.32
    219        SUCCESS        4            20        0.3        12.41        19.03            37.5            5.96
    191        SUCCESS        4            46        0.3        9.88        19.14            33.1            8.33
    115        SUCCESS        4            15        0.3        16.99        19.85            41.2            2.57
    53        SUCCESS        4            36        0.3        9.7        19.97            29.5            9.24
    145        SUCCESS        4            62        0.3        15.79        20.12            43.4            3.9
    101        SUCCESS        4            23        0.3        11.64        20.23            23.3            7.74
    150        SUCCESS        4            60        0.3        17.54        20.38            19.1            2.55
    70        SUCCESS        4            59        0.3        10.47        20.49            27.8            9.01
    113        SUCCESS        4            40        0.3        15.33        20.67            25.6            4.81
    92        SUCCESS        4            55        0.3        11.03        20.92            29.1            8.91
    160        SUCCESS        4            43        0.3        9.28        21.03            28.2            10.58
    137        SUCCESS        4            63        0.3        10.47        21.03            13.9            9.5
    49        SUCCESS        4            41        0.3        9.07        21.14            32.7            10.86
    168        SUCCESS        4            61        0.3        9.48        21.25            26.3            10.59
    80        SUCCESS        4            45        0.3        11.3        21.43            51.2            9.12
    59        SUCCESS        4            49        0.3        13.17        21.62            13.4            7.6
    54        SUCCESS        4            51        0.3        12.19        21.82            54.9            8.66
    35        SUCCESS        3            14        0.3        0.3        21.83            6.5            10.77
    179        SUCCESS        4            44        0.3        18.74        22.12            36.5            3.05
    154        SUCCESS        3            10        0.3        15.24        22.12            33.4            3.44
    136        SUCCESS        4            47        0.3        18.63        22.23            15.4            3.25
    232        SUCCESS        4            20        0.3        19.03        22.34            19.9            2.98
    66        SUCCESS        4            37        0.3        17.21        22.45            7.8            4.72
    73        SUCCESS        4            38        0.3        15.22        22.59            28.3            6.64
    74        SUCCESS        4            58        0.3        14.14        22.97            39.4            7.95
    246        SUCCESS        4            19        0.3        11.19        23.11            25.4            10.73
    65        SUCCESS        4            26        0.3        14.25        23.22            20.8            8.08
    210        SUCCESS        4            32        0.3        14.72        23.33            13.2            7.75
    84        SUCCESS        4            35        0.3        17.43        23.44            39.6            5.41
    119        SUCCESS        4            52        0.3        12.84        23.55            22.6            9.64
    37        SUCCESS        4            39        0.3        11.91        23.66            45            10.58
    182        SUCCESS        4            62        0.3        20.12        24.02            42.8            3.5
    167        SUCCESS        4            18        0.3        17.21        24.13            28.3            6.22
    186        SUCCESS        4            53        0.3        12.08        24.24            31.3            10.94
    91        SUCCESS        4            59        0.3        20.49        24.35            32.5            3.48
    139        SUCCESS        4            33        0.3        12.73        24.46            40.3            10.55
    227        SUCCESS        4            46        0.3        19.14        24.46            42.1            4.79
    189        SUCCESS        4            64        0.3        12.95        24.46            18.6            10.35
    34        SUCCESS        3            9        0.3        0.3        24.46            48.7            12.08
    44        SUCCESS        4            48        0.3        13.83        24.59            28.7            9.69
    143        SUCCESS        4            63        0.3        21.03        24.88            25            3.46
    195        SUCCESS        4            29        0.3        14.61        24.99            25.5            9.34
    144        SUCCESS        4            24        0.3        17.94        25.1            31.1            6.45
    176        SUCCESS        4            42        0.3        13.41        25.1            24.7            10.52
    67        SUCCESS        4            49        0.3        21.62        25.1            43.5            3.13
    89        SUCCESS        4            45        0.3        21.43        25.51            17.4            3.67
    254        SUCCESS        4            17        0.3        17.54        25.62            45            7.27
    114        SUCCESS        4            23        0.3        20.23        25.62            48            4.84
    216        SUCCESS        4            61        0.3        21.25        25.62            35.5            3.93
    235        SUCCESS        3            13        0.3        11.23        26.19            25.6            7.48
    263        SUCCESS        4            27        0.3        18.36        26.22            41.2            7.07
    141        SUCCESS        4            55        0.3        20.92        26.33            46.4            4.87
    63        SUCCESS        4            51        0.3        21.82        26.44            28.2            4.16
    208        SUCCESS        4            28        0.3        15.68        26.58            49            9.81
    268        SUCCESS        4            19        0.3        23.11        26.7            32.3            3.23
    226        SUCCESS        4            32        0.3        23.33        26.81            19.9            3.13
    103        SUCCESS        4            34        0.3        17.32        26.81            25.6            8.54
    116        SUCCESS        4            40        0.3        20.67        26.81            26.7            5.53
    172        SUCCESS        4            16        0.3        17.21        26.92            44            8.74
    146        SUCCESS        4            57        0.3        14.84        27.21            23.4            11.14
    127        SUCCESS        4            52        0.3        23.55        27.33            43.2            3.4
    206        SUCCESS        4            31        0.3        15.57        27.63            25.8            10.86
    97        SUCCESS        4            25        0.3        17.32        27.76            30            9.39
    240        SUCCESS        4            21        0.3        18.74        27.87            53.5            8.22
    134        SUCCESS        4            50        0.3        16.58        27.98            41.3            10.26
    82        SUCCESS        4            58        0.3        22.97        27.98            18.7            4.51
    251        SUCCESS        4            22        0.3        17.1        28.26            39.4            10.04
    120        SUCCESS        4            26        0.3        23.22        28.4            55.2            4.66
    106        SUCCESS        4            59        0.3        24.35        28.61            44.9            3.83
    98        SUCCESS        4            54        0.3        18.85        29.27            4.8            9.38
    117        SUCCESS        4            51        0.3        26.44        29.53            43.2            2.78
    177        SUCCESS        4            47        0.3        22.23        29.69            16.2            6.71
    271        SUCCESS        4            19        0.3        26.7        29.8            39.6            2.79
    180        SUCCESS        4            33        0.3        24.46        30.03            51.9            5.01
    198        SUCCESS        4            43        0.3        21.03        30.25            30.9            8.3
    203        SUCCESS        4            56        0.3        18.25        30.36            33.5            10.9
    285        SUCCESS        4            30        0.3        18.14        30.55            48.1            11.17
    259        SUCCESS        4            24        0.3        25.1        30.77            28.9            5.1
    178        SUCCESS        3            14        0.3        21.83        30.85            7.8            4.51
    60        SUCCESS        4            39        0.3        23.66        30.88            40.7            6.49
    112        SUCCESS        4            41        0.3        21.14        30.88            30            8.76
    225        SUCCESS        4            15        0.3        19.85        31.02            20.6            10.05
    121        SUCCESS        4            36        0.3        19.97        31.13            38.2            10.04
    190        SUCCESS        4            44        0.3        22.12        31.24            27.9            8.21
    157        SUCCESS        4            60        0.3        20.38        31.24            34.1            9.78
    138        SUCCESS        4            50        0.3        27.98        31.66            6.5            3.31
    215        SUCCESS        4            34        0.3        26.81        31.95            51.8            4.62
    152        SUCCESS        4            63        0.3        24.88        32.35            47.3            6.73
    158        SUCCESS        4            37        0.3        22.45        32.85            41.1            9.36
    233        SUCCESS        4            42        0.3        25.1        32.96            38.1            7.08
    207        SUCCESS        4            64        0.3        24.46        33.1            7.5            7.77
    261        SUCCESS        4            24        0.3        30.77        33.51            3.6            2.47
    248        SUCCESS        4            57        0.3        27.21        33.68            41.5            5.82
    173        SUCCESS        3            11        0.3        18.77        33.92            50.6            7.58
    185        SUCCESS        4            18        0.3        24.13        34.07            25.1            8.95
    249        SUCCESS        4            46        0.3        24.46        34.18            26.3            8.75
    181        SUCCESS        4            59        0.3        28.61        34.18            16.9            5.02
    126        SUCCESS        4            54        0.3        29.27        34.42            33.6            4.64
    214        SUCCESS        4            23        0.3        25.62        34.59            37.9            8.07
    76        SUCCESS        4            49        0.3        25.1        35.05            47.2            8.96
    124        SUCCESS        4            40        0.3        26.81        35.16            24.2            7.51
    269        SUCCESS        4            61        0.3        25.62        35.16            48.5            8.59
    187        SUCCESS        4            62        0.3        24.02        35.27            27.1            10.13
    125        SUCCESS        4            35        0.3        23.44        35.38            33.8            10.75
    108        SUCCESS        4            39        0.3        30.88        35.38            9.6            4.06
    218        SUCCESS        4            28        0.3        26.58        35.49            38.4            8.02
    202        SUCCESS        4            43        0.3        30.25        35.49            38.6            4.72
    169        SUCCESS        4            60        0.3        31.24        35.6            16.2            3.93
    72        SUCCESS        4            48        0.3        24.59        35.71            22.4            10.01
    174        SUCCESS        4            50        0.3        31.66        35.71            52.3            3.65
    280        SUCCESS        4            16        0.3        26.92        35.82            37.9            8.01
    296        SUCCESS        4            44        0.3        31.24        35.82            23.3            4.12
    155        SUCCESS        4            52        0.3        27.33        35.82            32.4            7.64
    252        SUCCESS        4            32        0.3        26.81        35.93            29.9            8.21
    275        SUCCESS        4            31        0.3        27.63        36.06            14.9            7.58
    213        SUCCESS        4            53        0.3        24.24        36.45            45.3            10.99
    230        SUCCESS        4            59        0.3        34.18        36.77            18.6            2.33
    153        SUCCESS        4            36        0.3        31.13        36.88            38.7            5.18
    192        SUCCESS        4            45        0.3        25.51        36.88            44.3            10.24
    231        SUCCESS        4            29        0.3        24.99        36.99            48.4            10.8
    273        SUCCESS        4            22        0.3        28.26        37.1            10.8            7.96
    197        SUCCESS        4            47        0.3        29.69        37.1            28.2            6.67
    133        SUCCESS        4            58        0.3        27.98        37.21            27.7            8.31
    148        SUCCESS        4            25        0.3        27.76        37.32            14.4            8.61
    266        SUCCESS        4            51        0.3        29.53        37.43            53.2            7.11
    245        SUCCESS        4            33        0.3        30.03        37.63            39.8            6.84
    265        SUCCESS        4            21        0.3        27.87        37.87            29.8            9
    262        SUCCESS        4            23        0.3        34.59        38.01            7.5            3.09
    238        SUCCESS        3            9        0.3        24.46        38.3            39.1            6.92
    221        SUCCESS        4            55        0.3        26.33        38.31            36.4            10.78
    201        SUCCESS        4            26        0.3        28.4        38.74            26            9.31
    166        SUCCESS        3            10        0.3        22.12        38.8            28.3            8.34
    281        SUCCESS        4            46        0.3        34.18        39.51            34.7            4.8
    196        SUCCESS        3            12        0.3        18.94        39.62            38.6            10.34
    209        SUCCESS        4            50        0.3        35.71        39.7            47.5            3.59
    260        SUCCESS        4            33        0.3        37.63        40.55            30.5            2.63
    194        SUCCESS        4            62        0.3        35.27        40.66            26.5            4.85
    199        SUCCESS        4            39        0.3        35.38        40.92            13.1            4.99
    223        SUCCESS        4            37        0.3        32.85        41.03            42.8            7.36
    164        SUCCESS        4            63        0.3        32.35        41.03            45.3            7.82
    140        SUCCESS        4            58        0.3        37.21        41.46            17.5            3.83
    256        SUCCESS        4            56        0.3        30.36        41.79            31.8            10.29
    297        SUCCESS        4            45        0.3        36.88        41.98            19            4.59
    243        SUCCESS        4            43        0.3        35.49        42.09            47            5.94
    276        SUCCESS        4            24        0.3        33.51        42.26            21.9            7.87
    264        SUCCESS        4            60        0.3        35.6        42.37            38.3            6.09
    109        SUCCESS        4            49        0.3        35.05        42.89            26.2            7.05
    170        SUCCESS        4            25        0.3        37.32        43            43.2            5.11
    257        SUCCESS        4            41        0.3        30.88        43.31            17.2            11.19
    255        SUCCESS        4            53        0.3        36.45        43.54            25.3            6.39
    244        SUCCESS        4            64        0.3        33.1        43.81            15.1            9.64
    163        SUCCESS        4            48        0.3        35.71        43.99            29.9            7.45
    220        SUCCESS        4            34        0.3        31.95        44.34            37.6            11.15
    222        SUCCESS        4            52        0.3        35.82        44.45            7.8            7.76
    283        SUCCESS        4            54        0.3        34.42        44.71            42.2            9.26
    279        SUCCESS        4            61        0.3        35.16        45.03            30.3            8.88
    250        SUCCESS        4            57        0.3        33.68        45.18            41.2            10.35
    183        SUCCESS        4            35        0.3        35.38        45.29            49.3            8.92
    270        SUCCESS        4            43        0.3        42.09        46.06            14.6            3.58
    287        SUCCESS        4            56        0.3        41.79        46.3            44.9            4.06
    159        SUCCESS        4            40        0.3        35.16        46.41            36.7            10.12
    241        SUCCESS        4            50        0.3        39.7        46.41            20.3            6.04
    289        SUCCESS        4            53        0.3        43.54        46.41            34.7            2.58
    286        SUCCESS        4            21        0.3        37.87        46.52            18.4            7.78
    239        SUCCESS        4            59        0.3        36.77        46.93            56.9            9.14
    237        SUCCESS        4            62        0.3        40.66        47.11            41.5            5.81
    284        SUCCESS        4            26        0.3        38.74        47.22            18.3            7.63
    165        SUCCESS        4            49        0.3        42.89        47.22            49.8            3.9
    217        SUCCESS        4            47        0.3        37.1        47.4            17            9.26
    282        SUCCESS        4            51        0.3        37.43        47.75            20.9            9.28
    175        SUCCESS        4            48        0.3        43.99        48.15            36.9            3.74
    212        SUCCESS        4            36        0.3        36.88        48.64            48.7            10.58
    288        SUCCESS        4            43        0.3        46.06        48.77            25.8            2.44
    291        SUCCESS        4            61        0.3        45.03        49.24            38.7            3.79
    253        SUCCESS        4            25        0.3        43        49.36            13.7            5.73
    188        SUCCESS        4            58        0.3        41.46        50.46            24.7            8.1
    242        SUCCESS        3            12        0.3        39.62        50.55            7.8            5.46
    277        SUCCESS        4            60        0.3        42.37        50.97            45            7.74
    267        SUCCESS        4            47        0.3        47.4        51.98            40.6            4.13
    274        SUCCESS        4            33        0.3        40.55        52.61            35.6            10.86
    295        SUCCESS        4            63        0.3        41.03        52.78            53.5            10.57
    278        SUCCESS        4            41        0.3        43.31        52.89            22.6            8.62
    229        SUCCESS        4            49        0.3        47.22        53.34            23.3            5.51
    290        SUCCESS        4            51        0.3        47.75        53.47            25.1            5.15
    293        SUCCESS        4            61        0.3        49.24        53.74            39.5            4.04
    200        SUCCESS        4            58        0.3        50.46        54.8            28            3.91
    299        SUCCESS        4            62        0.3        47.11        54.91            21.9            7.02
    224        SUCCESS        4            48        0.3        48.15        55.3            16.1            6.44
    258        SUCCESS        4            40        0.3        46.41        55.46            41.9            8.15
    247        SUCCESS        4            64        0.3        43.81        55.68            18.1            10.68
    272        SUCCESS        4            50        0.3        46.41        57.23            30            9.74
    294        SUCCESS        4            59        0.3        46.93        57.71            30.1            9.7
    211        SUCCESS        4            58        0.3        54.8        57.98            23.8            2.86
    236        SUCCESS        4            48        0.3        55.3        62.06            44.8            6.08
    292        SUCCESS        4            33        0.3        52.61        62.66            50.3            9.04
    298        SUCCESS        4            58        0.3        57.98        65.56            24.8            6.82
makespan: 65.55550000000011
LB: 17.254256301898344
cost: 2071.149175000005
