========== OUTPUT ==========
Cloudlet ID    STATUS    Data center ID    VM ID    Time    Start Time    Finish Time    BWCost    CPUCost
    101        SUCCESS        4            42        0.3        8.63        17.16            23.3            7.68
    57        SUCCESS        4            52        0.3        9.4        17.46            17            7.25
    81        SUCCESS        4            50        0.3        10.78        17.57            41.5            6.11
    165        SUCCESS        3            12        0.3        8.97        17.58            49.8            4.31
    108        SUCCESS        4            59        0.3        13.09        17.68            9.6            4.13
    45        SUCCESS        4            45        0.3        11.12        18.04            27.9            6.23
    270        SUCCESS        4            21        0.3        14.51        18.48            14.6            3.58
    91        SUCCESS        4            61        0.3        14.78        18.59            32.5            3.43
    26        SUCCESS        4            35        0.3        12.73        18.77            18.4            5.43
    33        SUCCESS        4            26        0.3        8.3        18.89            14.6            9.53
    83        SUCCESS        4            39        0.3        9.71        19            31.6            8.36
    27        SUCCESS        4            20        0.3        8.19        19.13            16.5            9.85
    28        SUCCESS        3            11        0.3        0.3        19.25            39            9.48
    169        SUCCESS        4            47        0.3        15.11        19.4            16.2            3.87
    44        SUCCESS        4            24        0.3        8.96        19.73            28.7            9.69
    221        SUCCESS        4            25        0.3        7.81        19.84            36.4            10.83
    126        SUCCESS        4            63        0.3        14.89        20.04            33.6            4.64
    70        SUCCESS        3            9        0.3        0.3        20.13            27.8            9.91
    190        SUCCESS        4            19        0.3        11.01        20.15            27.9            8.23
    129        SUCCESS        4            44        0.3        15.57        20.15            15.2            4.12
    52        SUCCESS        4            56        0.3        11.91        20.15            36.8            7.41
    109        SUCCESS        4            62        0.3        12.38        20.26            26.2            7.09
    135        SUCCESS        4            64        0.3        16.63        20.26            29.1            3.27
    209        SUCCESS        4            55        0.3        16.52        20.51            47.5            3.59
    98        SUCCESS        4            28        0.3        10.15        20.62            4.8            9.43
    164        SUCCESS        4            18        0.3        12.02        20.73            45.3            7.84
    73        SUCCESS        4            33        0.3        13.4        20.84            28.3            6.7
    122        SUCCESS        4            16        0.3        10.45        20.95            24.1            9.45
    203        SUCCESS        4            34        0.3        8.86        20.95            33.5            10.88
    161        SUCCESS        4            36        0.3        12.13        21.14            48.6            8.1
