18.703750000000024: Broker: Cloudlet 105 received
18.813750000000027: Broker: Cloudlet 103 received
18.813750000000027: Broker: Cloudlet 453 received
18.92375000000003: Broker: Cloudlet 11 received
19.033750000000033: Broker: Cloudlet 313 received
19.033750000000033: Broker: Cloudlet 83 received
19.033750000000033: Broker: Cloudlet 116 received
19.036499999999993: Broker: Cloudlet 4 received
19.143750000000036: Broker: Cloudlet 125 received
19.143750000000036: Broker: Cloudlet 157 received
19.143750000000036: Broker: Cloudlet 85 received
19.510250000000035: Broker: Cloudlet 19 received
19.555999999999994: Broker: Cloudlet 356 received
19.633000000000035: Broker: Cloudlet 284 received
19.997250000000033: Broker: Cloudlet 354 received
20.107250000000036: Broker: Cloudlet 374 received
20.126999999999995: Broker: Cloudlet 70 received
20.21725000000004: Broker: Cloudlet 187 received
20.21725000000004: Broker: Cloudlet 357 received
20.305499999999995: Broker: Cloudlet 265 received
20.415499999999998: Broker: Cloudlet 292 received
20.44925000000004: Broker: Cloudlet 351 received
20.63175000000004: Broker: Cloudlet 228 received
20.720499999999998: Broker: Cloudlet 420 received
20.94225000000004: Broker: Cloudlet 247 received
21.052250000000043: Broker: Cloudlet 257 received
21.052250000000043: Broker: Cloudlet 465 received
21.052999999999997: Broker: Cloudlet 349 received
21.162250000000046: Broker: Cloudlet 488 received
21.175499999999996: Broker: Cloudlet 97 received
21.27225000000005: Broker: Cloudlet 34 received
21.27225000000005: Broker: Cloudlet 186 received
21.520500000000048: Broker: Cloudlet 210 received
21.75125000000005: Broker: Cloudlet 148 received
21.86125000000005: Broker: Cloudlet 395 received
21.971250000000055: Broker: Cloudlet 176 received
22.081250000000058: Broker: Cloudlet 329 received
22.081250000000058: Broker: Cloudlet 302 received
22.19125000000006: Broker: Cloudlet 377 received
22.42100000000006: Broker: Cloudlet 387 received
22.531000000000063: Broker: Cloudlet 348 received
22.757999999999996: Broker: Cloudlet 99 received
22.776750000000064: Broker: Cloudlet 358 received
22.886750000000067: Broker: Cloudlet 327 received
23.025750000000066: Broker: Cloudlet 325 received
23.229000000000067: Broker: Cloudlet 221 received
23.33900000000007: Broker: Cloudlet 92 received
23.33900000000007: Broker: Cloudlet 295 received
